,,02/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
Skrillex,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6365838,6462376,,,,,,,,,,,,,,,,,,,10803930,10889452,11115389,11293385,11525595,11778455,11969315,12188877,12385884,12641282,12875657,13053655,13235074,13676752,14038115,14268131,14503175,14702302,14905302,15075131,15247098,15576574,15666190,15814451,15902480,15927115,15927115,15927115,15927115,15927115,16939851,17034476,17171839,17232957,17603246,17866675,18042212,18071301,18149461,18189105,18253024,18286643,18373715,18466461,18575564,,,,,,,,,
YOGSCAST Lewis,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6269157,6313197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Meal Time,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5835715,5868123,,,,,,,,,,,,,,,,,,,6842255,6851647,6869273,6892017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Phan,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5265672,5349270,,,,,,,,,,,,,,,,,,,7865838,7900077,7973787,8032185,8147372,8218582,8276256,8354060,8415779,8488665,8548202,8592206,8620372,8676954,8713853,8744050,8773075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Dawson TV,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5259508,5309263,,,,,,,,,,,,,,,,,,,6825478,6849230,6897874,6961681,,,,,,,7383841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKF Dubstep,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4986849,5021762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League of Legends,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4889893,4949220,,,,,,,,,,,,,,,,,,,6925071,6938784,6993148,7066487,7143194,,7251280,,,,7488388,7558669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filmes,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4863676,4972588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuya,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4805760,4944241,,,,,,,,,,,,,,,,,,,10918394,11081133,11447947,11713187,12032025,12418199,12828952,13260963,13610821,13989356,14443763,14711546,15121136,15595812,15867426,16120271,16428538,16664996,17076119,17386831,17708779,18197188,18316280,18501348,18623488,18677157,18677157,18677157,18677157,18677157,20531611,20697400,20959764,21079140,21452901,21994486,22215172,22275392,22545941,22607041,22858107,22953257,23172187,23345608,23471295,23561475,23741028,23759530,23831084,23920356,24009294,24000000,241000000,241000000
MOVIECLIPS Trailers,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4367142,4394622,,,,,,,,,,,,,,,,,,,7638636,7704598,7847643,7951196,8067526,8231135,8397043,8582506,8779221,8974525,9171570,9329928,9426727,9697877,9835602,9965571,10133261,10256904,10480422,10593229,10710368,10951662,10998412,11065566,11128021,11140321,11140321,11140321,11140321,11140321,,,,,,,,,,,,,,,,,,,,,,,,
Galo Frito,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4258088,4359496,,,,,,,,,,,,,,,,,,,6860232,6894372,7002036,7101177,7229127,7382369,7524671,7663920,7778746,7914888,8072714,8156640,8226911,8310494,8401223,8459360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSI,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4226693,4324423,,,,,,,,,,,,,,,,,,,9967960,10088431,10426566,10736066,11049129,11370208,11651565,11924333,12116248,12336112,12716990,12986737,13468364,14154430,14494724,14723012,14957731,15134123,15505772,15774923,15976626,16094127,16105472,16133697,16238277,16248832,16248832,16248832,16248832,16248832,17565756,18221844,18494697,18561841,18707490,19278781,19693786,19701862,19746043,19756076,19817496,19850925,19930863,20018034,20093139,20145631,20229059,20137479,20244271,20300881,,,,
Parafernalha,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3968223,4003626,,,,,,,,,,,,,,,,,,,6988819,7027109,7130039,7212628,7314073,7446464,7555409,7685406,7776617,7911074,8054686,8143959,8232079,8354579,8450007,8520903,8613337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprien,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3901965,4016104,,,,,,,,,,,,,,,,,,,7589900,7632241,7774662,7874059,8039141,8243589,8396099,8547712,8669255,8783544,8911116,9050277,9224054,9411300,9524265,9636685,9896269,10015019,10160247,10338006,10486182,10689155,10744345,10895525,10988032,11039103,11039103,11039103,11039103,11039103,,,,,,,,,,,,,,,,,,,,,,,,
IGN,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3848460,3910395,,,,,,,,,,,,,,,,,,,6312300,6353884,6462107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Mota,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3830362,3979460,,,,,,,,,,,,,,,,,,,9116324,9175936,9379165,9469828,9564576,9667589,9777707,9829257,9867370,9970130,10019434,10052576,10074626,10251987,10278396,10282997,10292540,10320004,10341914,10348974,10338248,10341655,10352267,10377824,10417684,10441119,10441119,10441119,10441119,10441119,,,,,,,,,,,,,,,,,,,,,,,,
VitalyzdTv,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3808559,4159022,4885268,5302190,5529591,5709017,5888192,6080960,6349584,6786543,7142409,7283178,7601052,7688591,7786829,7893382,7967503,8061476,8180090,8298842,8476152,8517837,8613879,8666032,8735010,8820303,8870042,8916005,8952816,8984237,9013938,9027232,9101897,9145932,9207645,9183632,9211604,9216873,9242342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just For Laughs Gags,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700317,3719519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is ??????,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3649046,3727990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Stirling,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3638594,3731287,,,,,,,,,,,,,,,,,,,6835460,6865568,6970341,7061141,7197321,7327806,7507646,7644267,7748347,7851801,7964768,8058597,8175692,8294278,8435221,8526384,8623361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Hugo Schneider,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3558040,3588563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smosh Games,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3538171,3580943,,,,,,,,,,,,,,,,,,,6332093,6360178,6426380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Kimmel Live,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3494483,3563533,,,,,,,,,,,,,,,,,,,6181463,6237043,6373011,,,,,,7403864,,7753211,7929345,8087539,8243114,8314270,8456115,8630271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The X Factor USA,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429783,3474349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annoying Orange,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3423295,3444954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vete a la Versh,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3405820,3443644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smosh 2nd Channel,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3385688,3409884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-Series,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3343409,3452089,,,,,,,,,,,,,,,,,,,7467905,7542529,7809951,8050298,8360897,8708503,8959541,9268845,9624124,9973484,10386985,10697740,11008277,11527209,,,13046512,13725413,14584448,15284178,16218757,18531210,19178039,20236151,21034860,21290970,21290970,21290970,21290970,21290970,34257115,36312605,39925415,41268253,48360990,58383458,64157508,65343048,69489683,70267628,73422998,75846323,79853063,83771026,88893833,92756340,99459557,100624500,103775197,107292173,111054964,114000000,120000000,122000000
Barely Political,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3341517,3363400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linkin Park,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3269063,3312768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORMAN,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3149331,3237156,,,,,,,,,,,,,,,,,,,6241441,6277613,,,,,,,,,7446433,7534084,7626862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali-A,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3048247,3183785,,,,,,,,,,,,,,,,,,,6457700,6517069,6694952,,,7220863,7398850,7575745,7755111,7917210,8097650,8188965,8253357,8416633,8486787,8530377,8586628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip DeFranco,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3002057,3017058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTXofficial,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4279999,4746686,5065470,5399000,5573938,5792297,5880306,6004004,6211782,6389919,6621391,6959295,7315055,7496846,7739935,7892634,8076244,8192271,8528568,8581145,8831450,9040049,9288117,9619044,9909930,10062057,10172074,10272111,10561178,10684134,10780561,10875610,10972868,11112879,11566413,12002039,12578923,12760133,12856527,13183306,13282178,13393149,13454045,13470998,13470998,13470998,13470998,13470998,14618058,14659683,14921722,14998949,15264320,,,,,,,,,,,,,,,,,,,
SteveKardynal,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4149098,4682168,4767227,4828506,4887005,4929326,4937636,4971264,5005264,5033782,5067634,5082731,5108260,5144551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanossgaming,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3943827,5001073,6033764,6569649,6893415,7313083,7657859,8137727,8719120,9121396,9553758,9936624,10405171,10946037,11418491,11824147,12373156,12703876,13400583,13595203,14019416,14281228,14647831,15162224,15596663,16017750,16385964,16681499,17072136,17430166,17753294,18241906,18541185,18778037,19035156,19317295,19665466,19909512,20134841,20466750,20575675,20770464,20917275,20954671,20954671,20954671,20954671,20954671,22326166,22469200,22669394,22740924,23018939,23488890,23667621,23705022,23824985,23847220,23927006,23972470,24109267,24209137,24299441,24380541,24505241,24530973,24633357,24781710,24864414,249000000,248000000,248000000
zoella280390,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3497686,3794813,4060479,4339051,4585703,4881586,5154377,5474335,5870384,6123938,6464090,6673674,6943839,7238983,7530532,7782042,8147341,8341659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matroix,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465216,3619572,3753849,3885194,3990362,4120493,4212821,4340912,4541371,4640357,4906361,5091355,5264486,5469012,5628997,5787677,6057343,6169080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpinninRec,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3354154,3939742,4603590,5035153,5315763,5678115,5921322,6232337,6617652,6940289,7320647,7603383,7913393,8271598,8601170,8945446,9447206,9778410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetta777,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3313844,3994887,4626443,5035598,5325566,5713933,5989499,6367340,6809453,7141568,7495448,7765060,8116435,8532186,8892634,9226440,9659807,9905108,10436202,10563432,10929050,11192405,11507962,11847351,12211011,12584231,12961869,13322578,13707732,14026344,14406324,14920027,15251814,15534415,15915415,16227060,16633569,16927206,17242828,17758323,18008246,18356749,18566074,18628464,18628464,18628464,18628464,18628464,20856347,21153875,21618472,21817263,22624077,23545268,24093723,24215005,24585930,24656310,24874844,25049463,25408777,25777501,26102423,26284371,26659464,26699551,26866980,27138574,27368106,276000000,281000000,282000000
tyleroakley,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3312959,3785561,4043955,4216180,4346370,4512927,4666112,4912697,5394545,5563427,5724855,5877940,6194940,6429849,6587301,6725031,6907278,7028281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thewillyrex,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3443376,3783769,3989665,4157825,4394127,4559228,4849698,5160736,5356986,5586011,5729689,5933656,6167228,6341986,6511298,6785086,6932434,7291307,7393236,7668880,7850283,8052275,8237996,8442576,8658859,8862805,9097577,9372669,9602019,9791822,10066442,10225732,10390560,10712397,10911215,11116923,11275367,11449432,11762739,11872893,12060239,12143138,12168114,12168114,12168114,12168114,12168114,13253297,13416671,13660286,13775907,,,,,,,,,,,,,,,,,,,,
WatchMojo,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006803,4302178,4690389,5096355,5365963,5722813,5987761,6324636,6708582,7070270,7440407,7886515,8189752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JuegaGerman,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3879933,4312758,4712453,5018361,5372638,5667545,6007265,6431296,6759698,7018384,7380663,7734900,8406399,8573055,8968038,9336041,9736021,10159558,10624479,11214259,11636843,12182362,12851495,13246113,13708155,14421505,14730216,15274440,15721398,16173194,16935036,17356987,17843652,19097236,19480506,20030434,20395804,20485114,20485114,20485114,20485114,20485114,24455924,24842584,25403849,25650482,26703139,28498852,29357793,29566609,30251668,30372450,30744490,30984702,31805216,33028443,33821311,34226965,34973966,35076414,35448196,35863899,36542414,368000000,374000000,375000000
willyrex,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3866888,,4222480,4335959,4467476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFvsGF,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4233842,4607391,4771846,5029781,5189477,5455211,5777778,6040159,6261615,6547641,6761667,7273093,7391196,7662594,7800393,7934591,8112974,8349080,8512497,8598315,8697007,8791745,8911278,8997835,9085639,9119614,9159320,9197673,9270381,9309185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latenight,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069415,4397315,4665669,5061621,5278826,5483057,5974498,6489309,6846963,7267353,7451293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RomanAtwood,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4390189,4533634,4725207,4911828,5095660,5423983,5633021,5875487,6152136,6335726,6766118,6875201,7102399,7267823,7671953,7931794,8123860,8311928,8552041,8712871,8881720,8986139,9191605,9510508,9646960,9723440,9812312,10150866,10266042,10315660,10347391,10408718,10415437,10439892,10459659,10466136,10466136,10466136,10466136,10466136,,,,,,,,,,,,,,,,,,,,,,,,
CutiePieMarzia,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4258139,4360834,4505302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markiplierGAME,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4818286,5290675,5872046,6491002,7099905,7647863,7915156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhettandlink2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4722078,5243746,5761841,6104347,6365197,6803648,7087569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BartBaKer,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4915779,5195193,5463771,5663328,5885015,6026213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrossRotzank,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4799822,5054060,5286035,5487725,5770179,6000763,6366463,6456022,6656779,,,7206857,7391585,7635555,7876354,8208264,8496609,8660043,8868172,9222129,9391951,9533271,9726732,9876035,10074752,10245642,10462397,10790474,10895068,11020805,11153677,11189769,11189769,11189769,11189769,11189769,12475133,12629417,,,,,,,,,,,,,,,,,,,,,,
WWEFanNation,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4786609,5090364,5367243,5721933,6094802,6343284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIsuperwomanII,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5072372,5302706,5469319,,,6072769,6232789,6462873,6821728,7050345,7275618,7549041,7808949,8071578,8360143,8631372,8884394,9159778,9593721,9766322,9891625,10076008,10273950,10705238,10968585,11178015,11470084,11545417,11765045,11929495,11962234,11962234,11962234,11962234,11962234,13195657,13273415,13447147,13501504,,,,,,,,,,,,,,,,,,,,
stampylonghead,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010496,5282150,5477556,,,6190937,6257553,6409780,,,,,,,,7362438,7457323,7618962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheDiamondMinecart,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5371307,5727213,6203570,6516008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edsheeran,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5195334,5555260,5991401,6311418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuzzFeedVideo,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5389383,5885105,6236210,6915520,7087827,7458071,7735581,8092411,8436351,8707243,8971262,9188547,9417167,9707152,9929744,10147705,10360193,10582144,10882247,11197414,11347637,11548418,11736710,11839479,12348342,12454671,12578758,12670746,12695872,12695872,12695872,12695872,12695872,14470250,14707127,15126786,15332141,16363415,17226503,17546421,17632635,17830096,17858447,17958600,18014876,18180884,18351693,,,,,,,,,,
Vanossgaming,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12371943,12702336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELRUBIUSOMG,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11415034,11838790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%C2%A0adamthomasmoran,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6164556,6251660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fouseyTUBE,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5950843,6453346,6582857,6846552,7204793,7469407,7698402,7876497,8142232,8363329,8535134,8669544,8756663,9030697,9437137,9627243,9623270,9657385,9693244,9757351,9794708,9816772,,,10152355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolaSoyGerman.,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23329827,23489476,23978156,24442745,24904093,25321582,25854909,26285178,26579909,27100900,27559908,27826478,28354848,28880102,29128932,29653733,29918150,30306226,30679845,30902610,31152061,31624190,31728520,31883841,31983886,32010075,32010075,32010075,32010075,32010075,33194134,33334232,33513638,33592537,33921447,34377081,34607139,34662654,34801404,34829426,34949123,35055705,35277927,37556934,38423349,38654480,39289416,39336606,39457767,39608872,39753043,398000000,40000000,401000000
Fine Brothers Entertainment,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12805588,12909334,13115489,13258379,13453241,13672701,13900807,13619549,13605628,13777288,13922934,14025453,14116109,14210625,14279646,14347826,14429481,14526289,14677612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Does Minecraft,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11169443,11218679,11336386,11411433,11489261,11571815,11670115,11751956,11817792,11881710,11951100,12022694,12021290,12078042,12088899,12081584,12072969,12062075,12054220,12042968,12026344,11995377,11986714,11987710,11968578,11962028,11962028,11962028,11962028,11962028,,,,,,,,,,,,,,,,,,,,,,,,
Ray William Johnson,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10815443,10796167,10761410,10743400,10720644,10714315,10708100,10686921,10666326,10644041,10640405,10629545,10604557,10571051,10553456,10528541,10502885,10486842,10459947,10442392,10423913,10393019,10383339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinnin' Records,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10368117,10506518,10836497,11114658,11479793,11830805,12114196,12449112,12758105,13095713,13458788,13740749,14042276,14424946,14698102,14944770,15269311,15550895,15883388,16161296,16466618,17072971,17252951,17551685,17745605,17795573,17795573,17795573,17795573,17795573,19956640,20225782,20673233,20823785,21801567,22760841,23231722,23334013,23633147,23687087,23873356,23982748,24242865,24501212,24829137,25092366,25464036,25516448,25644035,25792466,25926898,26000000,262000000,263000000
David Guetta,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8883681,8998989,9270542,9470245,9712969,9954619,10151211,10380004,10580763,10781815,10991514,11209180,11615558,12032417,12232745,12392265,12554536,12707037,12845339,12974043,13113163,13443753,13566385,13906552,14080006,14127689,14127689,14127689,14127689,14127689,15461602,15580586,15838797,16242048,17539832,18186223,18605971,18704962,18942926,18967622,19242978,19366130,19612353,19783620,19986180,20114693,20314257,20357379,20488165,20634294,,,,
WatchMojo.com,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8783141,8901356,9227796,9426760,9713978,10070295,10367995,10692534,11037597,11410479,11803556,12096542,12355984,12703775,12851867,12973423,13139405,13318184,13521976,13731048,13934200,14346299,14485470,14720938,14853320,14883619,14883619,14883619,14883619,14883619,16327217,16503984,16805463,16924137,17582677,18376623,18814589,18901558,19146405,19191582,19341849,19431388,19627206,19824957,20117681,20320610,20636582,20678484,20838657,21004002,,,,
Zoella,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8705039,8814557,9064446,9254046,9441768,9633101,9845553,10057052,10225594,10402146,10561008,10672971,10799615,10985457,11098992,11170986,11260307,11382253,11478978,11549018,11624815,11766533,11789149,11833999,11866702,11876065,11876065,11876065,11876065,11876065,12093753,,,,,,,,,,,,,,,,,,,,,,,
Markiplier,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8560055,8827640,9410936,9879820,10287640,10696417,11099858,11448536,11802276,12221643,12722970,13197707,13484154,14041991,14357520,14608191,15199952,15508726,16057567,16401816,16716116,17282920,17417647,17651806,17832144,17877254,17877254,17877254,17877254,17877254,19510933,19664515,19966315,20112316,20665082,21601791,21917843,21991869,22208976,22258096,22443473,22597745,22879828,23137781,23334749,23560819,23780628,23856154,24043818,24208072,24362173,244000000,246000000,247000000
The Tonight Show Starring Jimmy Fallon,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7756398,7836064,7999477,8402638,8670556,9075333,9424083,9808723,10254446,10566360,10897094,11146031,11372278,11675275,11842658,12090663,12373084,12582616,12774373,12925250,13192495,13549059,13630708,13849982,13956812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
