name,time,index,rank,value,lastValue,age
Ghostbusters II (1989),1993-06-01,29,5,60358396.9726994,60358396.9726994,0.2
Lethal Weapon 3 (1992),1993-06-01,29,6,60304524.0594433,60304524.0594433,0.8
Indiana Jones and the Last Crusade (1989),1993-06-01,29,7,60117001.4271394,60117001.4271394,0.2
Beverly Hills Cop II (1987),1993-06-01,29,8,58999405.7809692,58999405.7809692,0
Return of the Jedi (1983),1993-06-01,29,9,58857041.0006439,58857041.0006439,0
Terminator 2: Judgment Day (1991),1993-06-01,29,10,58416351.8009262,58416351.8009262,0.7
Back to the Future Part II (1989),1993-06-01,29,11,56011412.1021378,56011412.1021378,0.3
Home Alone 2: Lost in New York (1992),1993-06-01,29,12,55592655.000253,55592655.000253,0.9
Batman (1989),1993-12-01,30,1,82920128.6575987,82920128.6575987,0.1
Batman Returns (1992),1993-12-01,30,2,82879660.0658672,82879660.0658672,0.7
Jurassic Park (1993),1993-12-01,30,3,82825878.6039085,82825878.6039085,0.9
Indiana Jones and the Temple of Doom (1984),1993-12-01,30,4,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1993-12-01,30,5,60358396.9726994,60358396.9726994,0.1
Lethal Weapon 3 (1992),1993-12-01,30,6,60304524.0594433,60304524.0594433,0.7
Indiana Jones and the Last Crusade (1989),1993-12-01,30,7,60117001.4271394,60117001.4271394,0.1
Beverly Hills Cop II (1987),1993-12-01,30,8,58999405.7809692,58999405.7809692,0
Return of the Jedi (1983),1993-12-01,30,9,58857041.0006439,58857041.0006439,0
Terminator 2: Judgment Day (1991),1993-12-01,30,10,58416351.8009262,58416351.8009262,0.6
Back to the Future Part II (1989),1993-12-01,30,11,56011412.1021378,56011412.1021378,0.2
Home Alone 2: Lost in New York (1992),1993-12-01,30,12,55592655.000253,55592655.000253,0.8
Batman (1989),1994-06-01,31,1,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1994-06-01,31,2,82879660.0658672,82879660.0658672,0.6
